FIPS Code,County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent adults fully vaccinated against COVID-19 (as of 6/10/21),Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Geographical Point,State Code
13313,"Whitfield County, Georgia",GEORGIA,0.1527,0.2212,0.0956,0.88,Very High Vulnerability,0.84,Very High Concern,0.157,0.3511,0.0025,0.0144,0.0376,0,0.5843,POINT (-83.426574 32.638481),GA
13311,"White County, Georgia",GEORGIA,0.1469,0.2076,0.0934,0.24,Low Vulnerability,0.61,High Concern,0.054,0.0325,0.0043,0.0058,0.0146,0,0.923,POINT (-83.426574 32.638481),GA
13315,"Wilcox County, Georgia",GEORGIA,0.1728,0.2541,0.1117,0.82,Very High Vulnerability,0.95,Very High Concern,0.065,0.0466,0.0039,0,0.3548,0,0.5851,POINT (-83.426574 32.638481),GA
15003,"Honolulu County, Hawaii",HAWAII,0.0507,0.0848,0.0275,0.47,Moderate Vulnerability,0.3,Low Concern,,0.0985,0.0013,0.4173,0.0225,0.0893,0.1837,POINT (-157.854309 21.361013),HI
13309,"Wheeler County, Georgia",GEORGIA,0.1864,0.2692,0.1219,0.81,Very High Vulnerability,0.98,Very High Concern,0.045,0.0014,0,0,0.4339,0,0.5618,POINT (-83.426574 32.638481),GA
13317,"Wilkes County, Georgia",GEORGIA,0.1623,0.2462,0.1043,0.76,High Vulnerability,0.89,Very High Concern,0.106,0.0506,0,0.0039,0.4259,0,0.5093,POINT (-83.426574 32.638481),GA
15005,"Kalawao County, Hawaii",HAWAII,0.061,0.0979,0.0326,0.32,Low Vulnerability,0.57,Moderate Concern,,0.0303,0.0152,0.2121,0.0303,0.2727,0.2273,POINT (-157.854309 21.361013),HI
13307,"Webster County, Georgia",GEORGIA,0.1556,0.2329,0.0991,0.79,High Vulnerability,0.86,Very High Concern,0.112,0.0874,0.0034,0,0.372,0,0.5184,POINT (-83.426574 32.638481),GA
13319,"Wilkinson County, Georgia",GEORGIA,0.1478,0.2184,0.0935,0.79,High Vulnerability,0.9,Very High Concern,0.141,0.0287,0.0012,0,0.3895,0.0006,0.567,POINT (-83.426574 32.638481),GA
21031,"Butler County, Kentucky",KENTUCKY,0.2053,0.2637,0.1375,0.79,High Vulnerability,0.51,Moderate Concern,0.393,0.0328,0.0016,0.0031,0.0055,0.0004,0.9471,POINT (-85.290484 37.526683),KY
21041,"Carroll County, Kentucky",KENTUCKY,0.169,0.2127,0.1103,0.89,Very High Vulnerability,0.49,Moderate Concern,0.436,0.0678,0.0032,0.0033,0.028,0,0.8865,POINT (-85.290484 37.526683),KY
21021,"Boyle County, Kentucky",KENTUCKY,0.1889,0.2392,0.1251,0.43,Moderate Vulnerability,0.1,Very Low Concern,0.516,0.0332,0.003,0.0084,0.0792,0,0.854,POINT (-85.290484 37.526683),KY
21051,"Clay County, Kentucky",KENTUCKY,0.221,0.2796,0.1503,0.91,Very High Vulnerability,0.53,Moderate Concern,0.336,0.0256,0.0012,0,0.0358,0.0004,0.9258,POINT (-85.290484 37.526683),KY
21043,"Carter County, Kentucky",KENTUCKY,0.1975,0.2492,0.1302,0.82,Very High Vulnerability,0.48,Moderate Concern,0.353,0.0136,0.0046,0.0011,0.0054,0.0001,0.9665,POINT (-85.290484 37.526683),KY
21033,"Caldwell County, Kentucky",KENTUCKY,0.1972,0.2532,0.1314,0.5,Moderate Vulnerability,0.23,Low Concern,0.442,0.025,0,0,0.0627,0,0.9088,POINT (-85.290484 37.526683),KY
21035,"Calloway County, Kentucky",KENTUCKY,0.1792,0.229,0.1171,0.5,Moderate Vulnerability,0.14,Very Low Concern,0.377,0.0272,0.0031,0.011,0.0349,0.0023,0.8965,POINT (-85.290484 37.526683),KY
21019,"Boyd County, Kentucky",KENTUCKY,0.1975,0.2492,0.1302,0.69,High Vulnerability,0.11,Very Low Concern,0.374,0.0182,0.0006,0.003,0.0229,0.0003,0.931,POINT (-85.290484 37.526683),KY
21049,"Clark County, Kentucky",KENTUCKY,0.1874,0.2378,0.1225,0.61,High Vulnerability,0.08,Very Low Concern,0.481,0.0291,0.0015,0.0061,0.0458,0,0.9015,POINT (-85.290484 37.526683),KY
23027,"Waldo County, Maine",MAINE,0.0948,0.1285,0.078,0.22,Low Vulnerability,0.31,Low Concern,0.617,0.0148,0.0044,0.0046,0.005,0,0.9517,POINT (-69.06137 45.117911),ME
25005,"Bristol County, Massachusetts",MASSACHUSETTS,0.0572,0.0853,0.0417,0.52,Moderate Vulnerability,0.06,Very Low Concern,0.545,0.0799,0.0005,0.0226,0.0394,0.0004,0.8128,POINT (-71.481104 42.151077),MA
25025,"Suffolk County, Massachusetts",MASSACHUSETTS,0.0442,0.0693,0.0317,0.74,High Vulnerability,0.05,Very Low Concern,0.616,0.2289,0.0018,0.0877,0.2011,0.0005,0.4487,POINT (-71.481104 42.151077),MA
25027,"Worcester County, Massachusetts",MASSACHUSETTS,0.049,0.0729,0.0356,0.41,Moderate Vulnerability,0.03,Very Low Concern,0.593,0.1149,0.0017,0.0489,0.045,0.0003,0.7638,POINT (-71.481104 42.151077),MA
26005,"Allegan County, Michigan",MICHIGAN,0.1072,0.1841,0.0664,0.18,Very Low Vulnerability,0.28,Low Concern,0.474,0.0735,0.0031,0.0069,0.0123,0,0.8843,POINT (-85.730977 44.874798),MI
26001,"Alcona County, Michigan",MICHIGAN,0.0976,0.1717,0.06,0.26,Low Vulnerability,0.37,Low Concern,0.526,0.015,0.0058,0.0019,0.004,0.0007,0.9578,POINT (-85.730977 44.874798),MI
26003,"Alger County, Michigan",MICHIGAN,0.1087,0.1903,0.0665,0.45,Moderate Vulnerability,0.53,Moderate Concern,0.583,0.0157,0.0365,0.0014,0.0767,0,0.836,POINT (-85.730977 44.874798),MI
26015,"Barry County, Michigan",MICHIGAN,0.0962,0.1711,0.0593,0.09,Very Low Vulnerability,0.22,Low Concern,0.442,0.0295,0.0037,0.006,0.0051,0.0001,0.9413,POINT (-85.730977 44.874798),MI
26013,"Baraga County, Michigan",MICHIGAN,0.095,0.169,0.0584,0.66,High Vulnerability,0.63,High Concern,0.493,0.0159,0.0979,0.004,0.093,0.0006,0.7263,POINT (-85.730977 44.874798),MI
26011,"Arenac County, Michigan",MICHIGAN,0.1033,0.1808,0.0645,0.51,Moderate Vulnerability,0.44,Moderate Concern,0.481,0.0202,0.0127,0.0036,0.0041,0,0.9464,POINT (-85.730977 44.874798),MI
26017,"Bay County, Michigan",MICHIGAN,0.0932,0.1634,0.0571,0.44,Moderate Vulnerability,0.29,Low Concern,0.529,0.0533,0.0027,0.0058,0.0167,0,0.9006,POINT (-85.730977 44.874798),MI
26035,"Clare County, Michigan",MICHIGAN,0.1102,0.1983,0.0688,0.77,High Vulnerability,0.71,High Concern,0.416,0.0201,0.0056,0.0012,0.0062,0,0.9481,POINT (-85.730977 44.874798),MI
26027,"Cass County, Michigan",MICHIGAN,0.099,0.1737,0.0608,0.33,Low Vulnerability,0.33,Low Concern,0.377,0.0389,0.0104,0.0084,0.0515,0,0.8613,POINT (-85.730977 44.874798),MI
26037,"Clinton County, Michigan",MICHIGAN,0.0842,0.146,0.0507,0.04,Very Low Vulnerability,0.22,Low Concern,0.531,0.0453,0.0015,0.0149,0.0181,0,0.8989,POINT (-85.730977 44.874798),MI
26045,"Eaton County, Michigan",MICHIGAN,0.0842,0.146,0.0507,0.31,Low Vulnerability,0.26,Low Concern,0.512,0.0539,0.005,0.023,0.0658,0.0003,0.8284,POINT (-85.730977 44.874798),MI
26043,"Dickinson County, Michigan",MICHIGAN,0.095,0.169,0.0584,0.23,Low Vulnerability,0.28,Low Concern,0.619,0.0157,0.009,0.0065,0.0062,0,0.9493,POINT (-85.730977 44.874798),MI
26053,"Gogebic County, Michigan",MICHIGAN,0.095,0.169,0.0584,0.4,Moderate Vulnerability,0.57,Moderate Concern,0.573,0.0146,0.0254,0.0054,0.0386,0.0008,0.901,POINT (-85.730977 44.874798),MI
26029,"Charlevoix County, Michigan",MICHIGAN,0.1025,0.1774,0.063,0.1,Very Low Vulnerability,0.24,Low Concern,0.618,0.02,0.0152,0.0049,0.0042,0.0005,0.9374,POINT (-85.730977 44.874798),MI
26051,"Gladwin County, Michigan",MICHIGAN,0.1033,0.1808,0.0645,0.54,Moderate Vulnerability,0.67,High Concern,0.451,0.0169,0.004,0.0052,0.0028,0,0.9578,POINT (-85.730977 44.874798),MI
26041,"Delta County, Michigan",MICHIGAN,0.1087,0.1903,0.0665,0.35,Low Vulnerability,0.45,Moderate Concern,0.583,0.0137,0.0196,0.0043,0.0034,0.0001,0.9287,POINT (-85.730977 44.874798),MI
26031,"Cheboygan County, Michigan",MICHIGAN,0.0976,0.1717,0.06,0.29,Low Vulnerability,0.31,Low Concern,0.47,0.0144,0.0205,0.0043,0.0079,0,0.9206,POINT (-85.730977 44.874798),MI
26055,"Grand Traverse County, Michigan",MICHIGAN,0.0882,0.153,0.0537,0.18,Very Low Vulnerability,0.08,Very Low Concern,0.639,0.0286,0.009,0.0058,0.0086,0.0003,0.9259,POINT (-85.730977 44.874798),MI
26049,"Genesee County, Michigan",MICHIGAN,0.1073,0.1964,0.0658,0.66,High Vulnerability,0.4,Moderate Concern,0.451,0.0344,0.0032,0.0103,0.1954,0.0001,0.7244,POINT (-85.730977 44.874798),MI
26033,"Chippewa County, Michigan",MICHIGAN,0.1087,0.1903,0.0665,0.72,High Vulnerability,0.62,High Concern,0.658,0.0188,0.1391,0.0099,0.0593,0.0009,0.6962,POINT (-85.730977 44.874798),MI
26039,"Crawford County, Michigan",MICHIGAN,0.0976,0.1717,0.06,0.37,Low Vulnerability,0.32,Low Concern,0.451,0.0201,0.003,0.0093,0.0074,0,0.9452,POINT (-85.730977 44.874798),MI
26047,"Emmet County, Michigan",MICHIGAN,0.1025,0.1774,0.063,0.14,Very Low Vulnerability,0.16,Very Low Concern,0.689,0.0166,0.029,0.0056,0.0073,0.0009,0.9116,POINT (-85.730977 44.874798),MI
26085,"Lake County, Michigan",MICHIGAN,0.1047,0.1816,0.0644,0.78,High Vulnerability,0.63,High Concern,0.546,0.0261,0.0089,0.0021,0.0793,0.0002,0.8498,POINT (-85.730977 44.874798),MI
26087,"Lapeer County, Michigan",MICHIGAN,0.0987,0.1711,0.0611,0.24,Low Vulnerability,0.39,Low Concern,0.42,0.0467,0.003,0.0056,0.0126,0.0003,0.9177,POINT (-85.730977 44.874798),MI
26081,"Kent County, Michigan",MICHIGAN,0.0906,0.1603,0.0542,0.48,Moderate Vulnerability,0.19,Very Low Concern,0.56,0.1057,0.0021,0.0299,0.0923,0.0002,0.7375,POINT (-85.730977 44.874798),MI
26091,"Lenawee County, Michigan",MICHIGAN,0.1073,0.1892,0.0668,0.41,Moderate Vulnerability,0.35,Low Concern,0.445,0.0797,0.0031,0.0031,0.0227,0.0002,0.8667,POINT (-85.730977 44.874798),MI
26093,"Livingston County, Michigan",MICHIGAN,0.0815,0.1385,0.0499,0.01,Very Low Vulnerability,0.17,Very Low Concern,0.549,0.0244,0.0023,0.0091,0.0058,0.0006,0.9434,POINT (-85.730977 44.874798),MI
26125,"Oakland County, Michigan",MICHIGAN,0.0719,0.1261,0.0436,0.11,Very Low Vulnerability,0.11,Very Low Concern,0.601,0.0412,0.0022,0.0745,0.1351,0.0002,0.72,POINT (-85.730977 44.874798),MI
26109,"Menominee County, Michigan",MICHIGAN,0.1087,0.1903,0.0665,0.28,Low Vulnerability,0.55,Moderate Concern,0.618,0.0182,0.0221,0.0041,0.0032,0,0.9289,POINT (-85.730977 44.874798),MI
26135,"Oscoda County, Michigan",MICHIGAN,0.0976,0.1717,0.06,0.67,High Vulnerability,0.69,High Concern,0.406,0.0164,0.0059,0.0015,0.005,0.0005,0.9551,POINT (-85.730977 44.874798),MI
26127,"Oceana County, Michigan",MICHIGAN,0.1047,0.1816,0.0644,0.86,Very High Vulnerability,0.63,High Concern,0.495,0.1489,0.0078,0.0022,0.0106,0,0.817,POINT (-85.730977 44.874798),MI
26107,"Mecosta County, Michigan",MICHIGAN,0.1125,0.1974,0.0699,0.6,Moderate Vulnerability,0.55,Moderate Concern,0.364,0.0229,0.0063,0.008,0.0295,0.0002,0.9121,POINT (-85.730977 44.874798),MI
26117,"Montcalm County, Michigan",MICHIGAN,0.1125,0.1974,0.0699,0.61,High Vulnerability,0.7,High Concern,0.38,0.035,0.0051,0.0035,0.0208,0.0009,0.9175,POINT (-85.730977 44.874798),MI
26115,"Monroe County, Michigan",MICHIGAN,0.0983,0.1685,0.0604,0.15,Very Low Vulnerability,0.31,Low Concern,0.4,0.0358,0.0024,0.0058,0.0235,0.0001,0.913,POINT (-85.730977 44.874798),MI
26133,"Osceola County, Michigan",MICHIGAN,0.1125,0.1974,0.0699,0.74,High Vulnerability,0.74,High Concern,0.391,0.0195,0.0073,0.0027,0.011,0,0.9452,POINT (-85.730977 44.874798),MI
26119,"Montmorency County, Michigan",MICHIGAN,0.0976,0.1717,0.06,0.37,Low Vulnerability,0.38,Low Concern,0.492,0.0132,0.0118,0.0015,0.0024,0.0003,0.9586,POINT (-85.730977 44.874798),MI
26129,"Ogemaw County, Michigan",MICHIGAN,0.1033,0.1808,0.0645,0.63,High Vulnerability,0.44,Moderate Concern,0.416,0.0215,0.01,0.0065,0.0033,0,0.9465,POINT (-85.730977 44.874798),MI
26105,"Mason County, Michigan",MICHIGAN,0.1047,0.1816,0.0644,0.34,Low Vulnerability,0.41,Moderate Concern,0.574,0.0457,0.0097,0.0058,0.009,0,0.9146,POINT (-85.730977 44.874798),MI
26139,"Ottawa County, Michigan",MICHIGAN,0.084,0.1488,0.0514,0.22,Low Vulnerability,0.19,Very Low Concern,0.53,0.0981,0.0023,0.0263,0.0143,0.0002,0.8385,POINT (-85.730977 44.874798),MI
30075,"Powder River County, Montana",MONTANA,0.2639,0.3131,0.1799,0.04,Very Low Vulnerability,0.14,Very Low Concern,0.188,0.0317,0.0168,0,0,0,0.9303,POINT (-109.645127 47.033521),MT
30083,"Richland County, Montana",MONTANA,0.2639,0.3131,0.1799,0.21,Low Vulnerability,0.33,Low Concern,0.322,0.0543,0.0198,0.0003,0,0.0016,0.8882,POINT (-109.645127 47.033521),MT
30093,"Silver Bow County, Montana",MONTANA,0.2268,0.2694,0.1537,0.53,Moderate Vulnerability,0.28,Low Concern,0.563,0.0456,0.0203,0.0074,0.0055,0.0001,0.9044,POINT (-109.645127 47.033521),MT
30073,"Pondera County, Montana",MONTANA,0.267,0.3233,0.1824,0.83,Very High Vulnerability,0.4,Low Concern,0.475,0.0204,0.1517,0.001,0.0013,0,0.8118,POINT (-109.645127 47.033521),MT
30081,"Ravalli County, Montana",MONTANA,0.2397,0.2895,0.1622,0.19,Very Low Vulnerability,0.2,Very Low Concern,0.438,0.035,0.0093,0.0053,0.0011,0,0.9295,POINT (-109.645127 47.033521),MT
30087,"Rosebud County, Montana",MONTANA,0.2639,0.3131,0.1799,0.61,High Vulnerability,0.59,Moderate Concern,0.712,0.0517,0.3686,0.0104,0.0017,0,0.5483,POINT (-109.645127 47.033521),MT
30079,"Prairie County, Montana",MONTANA,0.2639,0.3131,0.1799,0.08,Very Low Vulnerability,0.2,Very Low Concern,0.358,0.0128,0.0016,0.008,0,0,0.9776,POINT (-109.645127 47.033521),MT
31067,"Gage County, Nebraska",NEBRASKA,0.0891,0.1354,0.0555,0.11,Very Low Vulnerability,0.08,Very Low Concern,0.378,0.0254,0.0066,0.0066,0.006,0,0.9447,POINT (-99.810595 41.527099),NE
31031,"Cherry County, Nebraska",NEBRASKA,0.0842,0.1287,0.0516,0.23,Low Vulnerability,0.21,Low Concern,0.322,0.0251,0.0356,0.0048,0.0002,0.0012,0.879,POINT (-99.810595 41.527099),NE
31057,"Dundy County, Nebraska",NEBRASKA,0.087,0.1318,0.0537,0.3,Low Vulnerability,0.26,Low Concern,0.327,0.1181,0,0,0.0021,0,0.8761,POINT (-99.810595 41.527099),NE
31033,"Cheyenne County, Nebraska",NEBRASKA,0.0842,0.1287,0.0516,0.12,Very Low Vulnerability,0.09,Very Low Concern,0.396,0.0699,0.0044,0.0069,0.0083,0.0002,0.895,POINT (-99.810595 41.527099),NE
31041,"Custer County, Nebraska",NEBRASKA,0.0903,0.138,0.0558,0.18,Very Low Vulnerability,0.19,Very Low Concern,0.345,0.0321,0.0017,0.0076,0.0016,0,0.9457,POINT (-99.810595 41.527099),NE
31039,"Cuming County, Nebraska",NEBRASKA,0.0848,0.1288,0.0521,0.19,Very Low Vulnerability,0.29,Low Concern,0.49,0.1011,0.0018,0.003,0.001,0.0012,0.8811,POINT (-99.810595 41.527099),NE
31059,"Fillmore County, Nebraska",NEBRASKA,0.0891,0.1354,0.0555,0.06,Very Low Vulnerability,0.12,Very Low Concern,0.453,0.0393,0.004,0.0056,0.0038,0,0.9364,POINT (-99.810595 41.527099),NE
31049,"Deuel County, Nebraska",NEBRASKA,0.0842,0.1287,0.0516,0.17,Very Low Vulnerability,0.31,Low Concern,0.267,0.0852,0.0153,0.006,0.0016,0,0.8782,POINT (-99.810595 41.527099),NE
31159,"Seward County, Nebraska",NEBRASKA,0.0891,0.1354,0.0555,0.05,Very Low Vulnerability,0.17,Very Low Concern,0.465,0.0263,0.0009,0.0049,0.0055,0,0.9468,POINT (-99.810595 41.527099),NE
31169,"Thayer County, Nebraska",NEBRASKA,0.0891,0.1354,0.0555,0.06,Very Low Vulnerability,0.21,Low Concern,0.429,0.0259,0.0024,0,0.0049,0,0.949,POINT (-99.810595 41.527099),NE
31139,"Pierce County, Nebraska",NEBRASKA,0.0848,0.1288,0.0521,0.02,Very Low Vulnerability,0.02,Very Low Concern,0.381,0.0153,0.0008,0.0062,0.0021,0.0018,0.9616,POINT (-99.810595 41.527099),NE
31151,"Saline County, Nebraska",NEBRASKA,0.0891,0.1354,0.0555,0.6,Moderate Vulnerability,0.42,Moderate Concern,0.437,0.2534,0.0025,0.0197,0.0226,0,0.69,POINT (-99.810595 41.527099),NE
31161,"Sheridan County, Nebraska",NEBRASKA,0.0842,0.1287,0.0516,0.6,Moderate Vulnerability,0.43,Moderate Concern,0.29,0.0552,0.0673,0.008,0.0208,0.0004,0.8111,POINT (-99.810595 41.527099),NE
31131,"Otoe County, Nebraska",NEBRASKA,0.0891,0.1354,0.0555,0.23,Low Vulnerability,0.26,Low Concern,0.504,0.0808,0.0007,0.0034,0.0041,0,0.8876,POINT (-99.810595 41.527099),NE
31153,"Sarpy County, Nebraska",NEBRASKA,0.0819,0.1234,0.0496,0.1,Very Low Vulnerability,0.09,Very Low Concern,0.5,0.0932,0.0034,0.0253,0.0366,0.0011,0.8096,POINT (-99.810595 41.527099),NE
39035,"Cuyahoga County, Ohio",OHIO,0.1219,0.1776,0.0713,0.68,High Vulnerability,0.24,Low Concern,0.57,0.0593,0.0013,0.0301,0.2924,0.0002,0.5892,POINT (-82.70936 40.415534),OH
39045,"Fairfield County, Ohio",OHIO,0.1335,0.1826,0.0796,0.24,Low Vulnerability,0.06,Very Low Concern,0.516,0.022,0.0005,0.0159,0.0724,0.0005,0.8603,POINT (-82.70936 40.415534),OH
39025,"Clermont County, Ohio",OHIO,0.1363,0.1845,0.0816,0.1,Very Low Vulnerability,0.06,Very Low Concern,0.513,0.0194,0.0012,0.0125,0.0141,0.0002,0.9352,POINT (-82.70936 40.415534),OH
39017,"Butler County, Ohio",OHIO,0.1336,0.1883,0.0801,0.36,Low Vulnerability,0.12,Very Low Concern,0.492,0.0471,0.0013,0.0328,0.0798,0.0009,0.8101,POINT (-82.70936 40.415534),OH
39037,"Darke County, Ohio",OHIO,0.143,0.1969,0.0854,0.13,Very Low Vulnerability,0.13,Very Low Concern,0.364,0.0157,0.0029,0.005,0.0075,0,0.9608,POINT (-82.70936 40.415534),OH
39039,"Defiance County, Ohio",OHIO,0.1416,0.1976,0.0848,0.22,Low Vulnerability,0.1,Very Low Concern,0.462,0.0997,0.0038,0.0032,0.0142,0.0003,0.864,POINT (-82.70936 40.415534),OH
39023,"Clark County, Ohio",OHIO,0.1534,0.2178,0.0918,0.73,High Vulnerability,0.23,Low Concern,0.484,0.0343,0.0016,0.0061,0.0804,0.0003,0.8406,POINT (-82.70936 40.415534),OH
39015,"Brown County, Ohio",OHIO,0.1555,0.2117,0.0931,0.4,Moderate Vulnerability,0.32,Low Concern,0.363,0.0105,0.0012,0.0028,0.0081,0,0.964,POINT (-82.70936 40.415534),OH
39041,"Delaware County, Ohio",OHIO,0.1031,0.1382,0.0611,0.02,Very Low Vulnerability,0,Very Low Concern,0.705,0.0261,0.0011,0.0632,0.033,0.0001,0.8504,POINT (-82.70936 40.415534),OH
39031,"Coshocton County, Ohio",OHIO,0.1753,0.237,0.113,0.62,High Vulnerability,0.54,Moderate Concern,0.353,0.0106,0.0023,0.0029,0.0115,0,0.9587,POINT (-82.70936 40.415534),OH
39021,"Champaign County, Ohio",OHIO,0.1474,0.2052,0.0885,0.3,Low Vulnerability,0.18,Very Low Concern,0.409,0.0159,0.0035,0.0048,0.0183,0.0002,0.9329,POINT (-82.70936 40.415534),OH
39029,"Columbiana County, Ohio",OHIO,0.1436,0.1989,0.085,0.49,Moderate Vulnerability,0.25,Low Concern,0.437,0.0178,0.0013,0.0014,0.0199,0.0001,0.9392,POINT (-82.70936 40.415534),OH
39033,"Crawford County, Ohio",OHIO,0.1468,0.2064,0.088,0.32,Low Vulnerability,0.24,Low Concern,0.418,0.0167,0.0008,0.0053,0.0099,0.0004,0.9526,POINT (-82.70936 40.415534),OH
39043,"Erie County, Ohio",OHIO,0.1304,0.1814,0.077,0.29,Low Vulnerability,0.07,Very Low Concern,0.54,0.0439,0.0034,0.0059,0.0863,0.0001,0.8313,POINT (-82.70936 40.415534),OH
47155,"Sevier County, Tennessee",TENNESSEE,0.1411,0.2073,0.0884,0.61,High Vulnerability,0.53,Moderate Concern,0.358,0.0599,0.0039,0.0078,0.009,0.0002,0.8999,POINT (-86.343226 35.842998),TN
47165,"Sumner County, Tennessee",TENNESSEE,0.1221,0.1799,0.0754,0.21,Low Vulnerability,0.63,High Concern,0.364,0.0488,0.0025,0.014,0.0727,0.0004,0.8412,POINT (-86.343226 35.842998),TN
47175,"Van Buren County, Tennessee",TENNESSEE,0.1382,0.2064,0.0879,0.6,High Vulnerability,0.97,Very High Concern,0.439,0.0071,0,0,0.0028,0,0.9571,POINT (-86.343226 35.842998),TN
47167,"Tipton County, Tennessee",TENNESSEE,0.1337,0.2022,0.0837,0.45,Moderate Vulnerability,0.66,High Concern,0.279,0.0278,0.0029,0.0067,0.1836,0,0.7569,POINT (-86.343226 35.842998),TN
